"title","description","image_url","category"
"خاص | تحرك عاجل من الأهلي بسبب أحداث مباراة سيراميكا","تعقد إدارة الكرة بالنادي الأهلي اجتماعًا عاجلاً خلال ساعات، لدراسة موقفها من الخطأ التحكيمي الذي شهدته مباراة سيراميكا كليوباترا، التي أقيمت مساء الثلاثاء، في ا","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/sayed%20abdulhafez.jpeg.webp?h=e9555b0a","Football"
"بتصريحات مثيرة.. كومباني يشعل مباراة الإياب ضد ريال مدريد","أشعل المدرب البلجيكي الشاب فنسنت كومباني حماسة لاعبيه في بايرن ميونخ، بعد الفوز التاريخي على ريال مدريد (2-1) في ذهاب ربع نهائي دوري أبطال أوروبا لكرة القدم 202","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/Kompany%27s%20post-match%20comments%20following%20Bayern%20Munich%27s%20win%20against%20Real%20Madrid.jpg.webp?h=151e3532","Football"
"خبراء تحكيم يفصلون في أحقية الأهلي لركلة جزاء أمام سيراميكا","ظهرت حالة من الجدل في مباراة الأهلي وسيراميكا كليوباترا، مساء اليوم الثلاثاء، ضمن منافسات مرحلة التتويج ببطولة الدوري المصري.وطالب لاعبو الأهلي بالحصول على ركلة","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/cermerica%20-%20ahly.jpg.webp?h=f71546fc","Football"
"جمهور الأهلي يهاجم إدارة الخطيب بعد التعادل مع سيراميكا","شن جمهور النادي الأهلي هجومًا على مجلس إدارة النادي برئاسة محمود الخطيب، بعد أن ابتعد الفريق خطوة جديدة عن المنافسة على لقب الدوري المصري الممتاز، واقترابه من ا","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/ahly.jpg.webp?h=21f5e0b7","Football"
"أرقام كارثية.. ماذا قدم هجوم الأهلي أمام سيراميكا كليوباترا؟","فرط النادي الأهلي في نقطتين هامتين، وذلك بتعادله مع سيراميكا كليوباترا بهدف لمثله، ضمن منافسات الجولة الأولى من مرحلة اللقب لبطولة الدوري المصري الممتاز.ورغم أف","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/Al%20Ahly%20egypt.jpeg.webp?h=69c39a9d","Football"
"أول تعليق من توروب بعد تعادل الأهلي أمام سيراميكا","وصف ييس توروب المدير الفني للنادي الأهلي تعادل فريقه أمام سيراميكا كليوباترا في مسابقة الدوري المصري الممتاز، بالشيء الصعب، مشددًا على أن الفريق كان يستحق ركلة","https://assets.winwin.com/styles/fpc_1110x624/public/2025-11/Jess%20Thorup_0.jpg.webp?h=ada05aa9","Football"
"دوري السلة السوري.. فوز كبير للوحدة وحمص الفداء يحسم الديربي","حقق الوحدة -حامل اللقب- فوزًا كبيرًا على الشبيبة، وتغلب عليه بفارق (35) نقطة بواقع (108-73)، في اللقاء الذي جمع الفريقين في صالة راتب الشيخ نجيب بصالة الوحدة بد","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/syria%20basket%20%282%29.jpeg.webp?h=4be458d1","Basketball"
"ريال مدريد وبايرن ميونخ.. معركة إعلامية بعد فوز البافاري","تباينت ردود فعل الصحافة الأوروبية، عقب سقوط ريال مدريد أمام بايرن ميونخ في ذهاب ربع نهائي دوري أبطال أوروبا، في مباراة أقيمت على ملعب ""سانتياغو برنابيو""، وشهدت","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/real%20-%20bayren%20champions.jpeg.webp?h=85ee8c17","Football"
"ألفارو أربيلوا يتوعد بايرن ميونخ وينتقد التحكيم بعد الخسارة","توعد ألفارو أربيلوا مدرب نادي ريال مدريد الإسباني منافسه بايرن الألماني، قبل خوضهما لمباراة الإياب في ربع نهائي بطولة دوري أبطال أوروبا، وذلك بعد دقائق قليلة فق","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/alvaro%20arbeloa_0.jpeg.webp?h=39a29d4f","Football"
"فينيسيوس أو مبابي.. يجب التضحية بأحدهما من أجل ريال مدريد","في تاريخ ريال مدريد وفلسفته في جلب كل نجوم اللعبة، كان أهم سؤال يفرض نفسه هو: هل بمقدوره أن يضع هؤلاء النجوم في الملعب معًا؟ وهذا التساؤل عاد ليفرض نفسه بقوة حا","https://assets.winwin.com/styles/fpc_1110x624/public/2026-04/Real%20Madrid%20Bayern%20Mbapp%C3%A9%20.jpeg.webp?h=4f2fd414","Football"
